kind	name	refCount	postCount	changeCount	commitCount	smellCount	hasSmell	LOC	Nesting	WMC	DIT	NOC	CBO	RFC	LCOM	ADD	ADDING_ATTRIBUTE_MODIFIABILITY	ADDING_CLASS_DERIVABILITY	ADDING_METHOD_OVERRIDABILITY	ADDITIONAL_CLASS	ADDITIONAL_FUNCTIONALITY	ADDITIONAL_OBJECT_STATE	ALTERNATIVE_PART_DELETE	ALTERNATIVE_PART_INSERT	ATTRIBUTE_RENAMING	ATTRIBUTE_TYPE_CHANGE	CLASS_RENAMING	COMMENT_DELETE	COMMENT_INSERT	COMMENT_MOVE	COMMENT_UPDATE	CONDITION_EXPRESSION_CHANGE	DECREASING_ACCESSIBILITY_CHANGE	DELETE	DOC_DELETE	DOC_INSERT	DOC_UPDATE	METHOD_RENAMING	MODIFY	PARAMETER_DELETE	PARAMETER_INSERT	PARAMETER_ORDERING_CHANGE	PARAMETER_RENAMING	PARAMETER_TYPE_CHANGE	PARENT_CLASS_CHANGE	PARENT_CLASS_DELETE	PARENT_CLASS_INSERT	PARENT_INTERFACE_CHANGE	PARENT_INTERFACE_DELETE	PARENT_INTERFACE_INSERT	REMOVED_CLASS	REMOVED_FUNCTIONALITY	REMOVED_OBJECT_STATE	REMOVING_ATTRIBUTE_MODIFIABILITY	REMOVING_CLASS_DERIVABILITY	REMOVING_METHOD_OVERRIDABILITY	RETURN_TYPE_CHANGE	RETURN_TYPE_DELETE	RETURN_TYPE_INSERT	STATEMENT_DELETE	STATEMENT_INSERT	STATEMENT_ORDERING_CHANGE	STATEMENT_PARENT_CHANGE	STATEMENT_UPDATE	UNCLASSIFIED_CHANGE	ForwardEngineering	ReEngineering	CorrectiveEngineering	Management	usageCount	refDensity
Public Class	android.database.sqlite.SQLiteException	1508	1290	6	4	0	0	10	0	3	1	16	1	48	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	6	2789	0.5407
Public Class	android.database.sqlite.SQLiteFullException	3	3	2	2	0	0	6	0	2	2	0	1	50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0.0492
Public Abstract Class	android.database.sqlite.SQLiteOpenHelper	35265	11861	441	38	0	0	145	5	36	0	11	12	26	84	1	0	0	0	0	0	0	11	12	0	0	0	10	12	0	3	19	0	1	0	0	30	0	36	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	54	173	0	37	21	0	303	911	196	581	4131	8.5367
Public Abstract Class	android.database.sqlite.SQLiteProgram	98	44	2365	135	0	0	117	2	30	1	2	11	37	85	1	3	0	3	0	77	47	41	38	4	2	0	64	83	12	6	42	15	1	17	6	55	5	133	5	6	0	3	3	0	0	0	0	0	0	0	75	60	0	0	0	0	0	0	594	727	14	145	66	2	2423	3892	1598	2532	1	98.0000
Public Class	android.database.sqlite.SQLiteQuery	31	20	724	84	0	0	34	2	5	2	0	10	40	50	1	0	0	3	0	40	14	0	0	3	3	0	7	14	0	0	1	0	1	0	11	13	12	82	39	26	6	5	3	0	0	0	0	0	0	0	6	7	0	0	9	2	0	0	117	205	9	6	70	9	667	1342	513	861	14	2.2143
Public Class	android.database.sqlite.SQLiteQueryBuilder	4189	2328	560	51	0	0	266	4	54	0	0	20	35	88	1	6	0	0	0	4	2	0	18	0	0	0	10	12	0	0	20	0	1	0	0	25	3	49	3	0	0	6	6	0	0	0	0	0	0	0	25	14	3	0	0	0	0	0	83	191	0	18	60	0	438	470	139	482	422	9.9265
Public Class	android.database.sqlite.SQLiteReadOnlyDatabaseException	3	3	4	4	0	0	6	0	2	2	0	1	50	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	4	4	2	1.5000
Public Class	android.database.sqlite.SQLiteStatement	1614	1196	1340	85	0	0	80	1	14	2	0	6	45	0	1	0	0	0	0	27	29	8	7	2	0	0	26	19	0	0	10	0	1	0	3	30	0	83	4	0	0	0	0	0	0	0	0	0	0	0	29	31	0	0	0	0	3	0	465	455	4	56	47	0	1444	2414	895	1356	1096	1.4726
Public Interface	android.database.sqlite.SQLiteTransactionListener	7	5	9	9	0	0	5	0	3	0	1	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	1	13	28	0.2500
Public Class	android.drm.DrmErrorEvent	2	2	105	36	0	0	26	1	4	1	0	3	22	91	5	0	0	0	0	0	25	0	0	5	0	0	0	0	0	0	0	0	0	0	0	24	0	31	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	4	0	0	0	0	0	32	134	52	91	1	2.0000
Public Class	android.drm.DrmEvent	75	57	159	39	1	1	40	1	9	0	2	2	19	77	7	0	0	0	0	0	30	0	0	5	0	0	0	0	0	0	0	0	0	10	0	10	0	32	0	0	0	0	0	0	0	0	0	0	0	0	10	55	0	0	0	0	0	0	0	0	0	0	0	0	56	205	72	150	1	75.0000
Public Class	android.drm.DrmInfo	4192	2472	41	19	0	0	57	1	13	0	0	9	23	60	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	19	54	16	32	0	-1.0000
Public Class	android.drm.DrmInfoRequest	3144	1545	54	23	0	0	54	1	14	0	0	6	22	81	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	10	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	14	82	37	44	1	3144.0000
Public Class	android.drm.DrmManagerClient	301	267	2441	82	1	1	469	4	93	0	0	42	70	95	7	0	0	0	0	33	37	49	85	0	0	0	0	0	0	0	107	0	0	0	0	176	0	75	4	13	0	0	0	0	0	0	0	0	0	15	125	81	0	0	0	15	52	0	661	602	55	111	130	8	946	3050	1421	2479	20	15.0500
Public Class	android.drm.DrmRights	1077	946	121	23	1	1	66	1	15	0	0	7	24	65	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	20	0	28	6	0	51	158	112	96	0	-1.0000
Public Class	android.drm.DrmSupportInfo	84	74	75	21	0	0	67	3	20	0	0	5	24	54	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	28	10	0	2	0	0	37	136	90	98	0	-1.0000
Public Class	android.drm.ProcessedData	1064	939	17	17	1	1	23	0	5	0	0	1	18	46	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	20	6	17	0	-1.0000
Public Class	android.gesture.Gesture	414	311	198	39	0	0	185	1	31	0	0	23	32	84	6	4	0	0	0	10	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	33	4	4	0	0	0	0	0	0	0	0	0	0	23	5	0	0	0	0	0	0	36	28	4	8	17	0	18	175	134	172	16	25.8750
Public Class	android.gesture.GestureLibraries	202	102	42	9	0	0	92	0	5	0	0	6	18	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	9	0	3	0	0	18	19	60	28	8	25.2500
Public Abstract Class	android.gesture.GestureLibrary	420	216	626	23	0	0	44	0	15	0	2	6	28	19	6	0	0	0	0	7	48	0	4	0	0	0	0	24	0	0	0	3	0	5	52	0	0	17	0	4	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	27	347	0	8	44	12	872	1102	82	466	9	46.6667
Public Class	android.gesture.GestureOverlayView	1160	368	1825	69	0	0	570	5	102	3	0	27	986	94	6	15	0	0	0	8	59	36	10	8	1	0	9	19	16	0	20	5	0	0	13	10	30	63	10	4	0	3	0	4	0	0	0	0	0	11	157	119	0	0	0	4	3	3	524	323	26	137	150	0	1212	1761	1754	1993	53	21.8868
Public Class	android.gesture.GesturePoint	7	2	15	9	1	1	20	0	3	0	0	3	16	33	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	19	3	2.3333
Public Class	android.gesture.GestureStore	122	109	45	17	0	0	163	3	36	0	0	20	31	86	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	6	0	0	11	0	26	38	28	33	56	2.1786
Public Class	android.gesture.GestureStroke	348	315	242	33	0	0	144	3	25	0	0	13	24	65	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	3	0	27	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	0	0	0	0	0	37	118	0	4	17	0	75	299	321	275	5	69.6000
Public Class	android.gesture.Prediction	67	63	11	11	0	0	12	0	2	0	0	2	15	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	37	1.8108
Public Class	android.graphics.AvoidXfermode	26	21	16	12	0	0	18	1	2	1	0	2	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	11	20	1.3000
Public Class	android.graphics.Bitmap	122760	41993	1414	185	1	1	630	2	133	0	0	25	109	94	1	3	0	0	0	26	13	6	11	4	4	0	23	19	0	4	16	9	1	10	4	120	6	183	46	3	2	0	0	0	0	6	0	0	0	3	174	27	0	0	0	4	6	0	282	265	12	24	96	0	740	1441	677	1111	32759	3.7474
Public Class	android.graphics.BitmapFactory	45164	18918	1518	168	0	0	201	3	40	0	0	20	31	94	1	0	0	0	0	50	7	12	8	0	0	0	26	36	5	0	12	0	1	0	0	67	4	166	0	0	0	0	0	0	0	0	0	0	0	0	51	46	0	0	0	0	0	0	442	376	16	119	73	0	673	1861	472	1464	14471	3.1210
Public Class	android.graphics.BitmapRegionDecoder	9453	3766	117	36	0	0	108	2	19	0	0	15	33	78	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	7	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	20	4	0	40	4	0	35	95	46	210	138	68.5000
Public Class	android.graphics.BitmapShader	697	391	78	14	0	0	24	0	2	1	0	4	24	50	1	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1	6	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	18	6	0	0	6	0	52	147	58	52	962	0.7245
Public Class	android.graphics.BlurMaskFilter	208	164	7	7	0	0	16	0	1	1	0	1	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	256	0.8125
Public Class	android.graphics.Camera	2662	1624	44	7	0	0	42	2	6	0	0	3	33	97	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	12	0	0	3	0	0	36	62	8	17	569	4.6784
Public Class	android.graphics.Canvas	73145	21390	1302	179	1	1	693	2	138	0	4	33	160	96	1	6	2	0	0	54	13	6	3	0	0	0	8	6	4	0	13	18	1	18	6	103	4	177	119	56	0	0	4	0	0	0	0	0	0	3	99	32	10	0	0	4	0	0	154	123	0	56	192	0	496	1435	492	1303	23874	3.0638
Public Class	android.graphics.Color	22634	7096	44	19	0	0	208	2	36	0	0	11	32	99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	8	0	19	20	18	28	12628	1.7924
Public Class	android.graphics.ColorFilter	330	304	30	6	0	0	12	1	1	0	3	1	15	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	4	4	0	42	63	28	28	13	25.3846
Public Class	android.graphics.ColorMatrix	1180	399	47	7	0	0	117	2	24	0	0	4	28	19	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	1	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	15	0	9	18	9	45	403	2.9280
Public Class	android.graphics.ColorMatrixColorFilter	445	256	38	9	0	0	16	1	3	1	0	2	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	0	10	0	36	70	24	36	473	0.9408
Public Class	android.graphics.ComposePathEffect	4	3	2	2	0	0	7	0	1	1	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.6667
Public Class	android.graphics.ComposeShader	28	15	98	16	0	0	62	1	9	1	0	6	27	65	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0	44	0	0	2	2	0	84	183	105	80	117	0.2393
Public Class	android.graphics.CornerPathEffect	48	38	2	2	0	0	6	0	1	1	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0.6761
Public Class	android.graphics.DashPathEffect	146	107	15	15	0	0	9	1	2	1	0	1	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	6	338	0.4320
Public Class	android.graphics.DiscretePathEffect	2	2	2	2	0	0	6	0	1	1	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0000
Public Interface	android.graphics.drawable.Animatable	314	170	6	6	0	0	5	0	3	0	2	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	4	633	0.4961
Public Class	android.graphics.drawable.AnimationDrawable	4535	1175	115	46	1	1	188	3	37	2	0	8	121	68	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	12	0	44	10	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	7	0	0	0	26	0	62	62	122	82	1369	3.3126
Public Class	android.graphics.drawable.BitmapDrawable	10344	5500	882	100	1	1	397	4	87	1	0	27	116	85	1	0	0	0	0	6	14	24	19	0	0	0	6	0	0	0	15	0	1	34	6	13	8	98	5	0	0	0	0	0	0	0	0	0	0	0	67	28	0	0	0	0	0	0	245	166	0	55	71	0	323	669	597	592	8351	1.2387
Public Class	android.graphics.drawable.ClipDrawable	1576	752	217	57	0	0	205	2	35	1	0	13	93	75	1	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	14	0	1	5	0	0	0	55	10	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	27	6	0	32	45	0	76	156	145	163	341	4.6217
Public Class	android.graphics.drawable.ColorDrawable	5282	3370	149	51	0	0	109	1	20	1	1	13	84	69	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	49	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	39	13	0	9	10	0	47	140	97	134	4862	1.0864
Public Abstract Class	android.graphics.drawable.Drawable	25939	10590	851	141	1	1	341	2	105	0	20	45	70	95	1	0	0	0	4	9	4	11	3	0	0	0	8	12	0	0	104	0	1	24	0	46	5	139	4	2	0	0	0	0	0	0	0	0	0	3	45	13	0	0	0	2	0	0	177	147	0	40	47	0	392	725	306	678	20399	1.2716
Public Class	android.graphics.drawable.DrawableContainer	1488	717	1129	102	0	0	673	4	93	1	3	13	103	84	1	0	0	0	0	4	14	23	6	0	0	0	12	0	0	0	41	3	1	6	0	0	0	100	5	2	0	0	0	0	0	0	0	0	0	2	44	52	0	0	0	2	0	0	327	121	2	214	147	0	920	1065	699	813	278	5.3525
Public Class	android.graphics.drawable.GradientDrawable	4578	1810	795	106	0	0	843	5	128	1	0	30	107	89	1	0	0	0	0	5	0	13	0	0	4	0	18	0	4	4	14	0	1	24	0	11	0	104	0	0	0	0	0	0	0	0	0	0	0	0	39	20	2	0	0	0	0	0	306	52	0	79	94	0	301	567	497	635	2637	1.7361
Public Class	android.graphics.drawable.InsetDrawable	2254	1372	193	40	0	0	231	2	37	1	1	12	95	70	1	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	38	10	0	0	0	0	0	0	0	0	0	0	0	15	2	0	0	0	0	0	0	25	4	0	40	36	0	71	127	154	135	427	5.2787
Public Class	android.graphics.drawable.LayerDrawable	4094	1738	592	77	0	0	538	4	89	1	2	15	110	82	1	0	0	0	2	2	2	5	0	0	0	0	0	0	0	0	20	0	1	13	0	0	0	75	19	4	4	8	2	0	0	0	0	0	0	2	26	9	0	0	0	0	0	0	90	57	0	90	160	0	146	278	335	420	1673	2.4471
Public Class	android.graphics.drawable.LevelListDrawable	129	62	65	19	0	0	132	3	16	2	0	6	109	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	17	10	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	2	0	0	24	0	29	29	54	40	53	2.4340
Public Class	android.graphics.drawable.NinePatchDrawable	1740	849	1023	116	1	1	317	3	60	1	0	24	105	86	1	0	0	0	0	8	3	11	0	4	2	0	40	4	0	0	13	3	1	8	0	0	2	114	17	4	0	6	0	0	0	0	0	0	0	0	72	37	6	0	0	2	2	0	316	130	4	83	123	5	442	992	689	700	363	4.7934
Public Class	android.graphics.drawable.PaintDrawable	146	72	8	5	0	0	58	2	11	2	0	7	105	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	8	4	6	108	1.3519
Public Class	android.graphics.drawable.PictureDrawable	1545	692	2	2	1	1	43	1	14	1	0	6	81	45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	31.5306
Public Class	android.graphics.drawable.RotateDrawable	2242	1370	233	47	0	0	235	2	40	1	0	13	93	69	1	0	0	0	0	2	0	13	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	45	10	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	79	19	0	5	34	0	77	126	148	223	14	160.1429
Public Class	android.graphics.drawable.ScaleDrawable	2312	1392	220	51	0	0	225	2	43	1	0	15	95	70	1	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	49	10	0	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	0	34	6	0	35	45	0	87	154	147	167	37	62.4865
Public Class	android.graphics.drawable.ShapeDrawable	2939	1329	158	50	0	0	271	3	51	1	3	17	100	56	1	0	0	0	0	2	0	10	0	0	0	0	3	0	0	0	2	0	1	0	0	2	0	48	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	51	0	0	13	12	0	73	137	99	125	1362	2.1579
Public Class	android.graphics.drawable.shapes.ArcShape	59	38	2	2	0	0	12	0	2	2	0	3	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	1.9032
Public Class	android.graphics.drawable.shapes.OvalShape	224	180	2	2	0	0	7	0	2	2	0	3	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0.5477
Public Class	android.graphics.drawable.shapes.PathShape	58	43	6	4	0	0	30	0	4	1	0	5	24	44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	51	1.1373
Public Class	android.graphics.drawable.shapes.RectShape	201	146	6	4	0	0	21	0	5	1	3	5	25	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	282	0.7128
Public Class	android.graphics.drawable.shapes.RoundRectShape	168	94	18	7	0	0	59	3	13	2	0	8	29	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	16	36	20	14	541	0.3105
Public Abstract Class	android.graphics.drawable.shapes.Shape	8978	3458	8	4	0	0	32	1	10	0	2	4	20	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	290	30.9586
Public Class	android.graphics.drawable.StateListDrawable	1005	369	174	47	0	0	184	3	30	2	0	11	116	76	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	1	5	0	6	0	45	10	0	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	23	10	0	4	32	0	111	136	87	128	1564	0.6426
Public Class	android.graphics.drawable.TransitionDrawable	1495	570	152	22	0	0	144	2	25	2	0	8	121	76	1	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	8	0	1	2	0	0	0	20	15	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	12	6	2	2	58	0	26	51	118	86	517	2.8917
Public Class	android.graphics.DrawFilter	5	3	10	4	0	0	11	1	1	0	1	1	15	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	8	8	0	0	-1.0000
Public Class	android.graphics.EmbossMaskFilter	104	80	2	2	0	0	9	1	2	1	0	1	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	1.7049
Public Class	android.graphics.ImageFormat	62	32	101	27	0	0	39	1	11	0	0	0	14	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	26	0	13	0	0	0	83	111	31	84	149	0.4161
Public Class	android.graphics.Interpolator	91	70	2	2	0	0	77	1	19	0	0	6	31	66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11.3750
Public Class	android.graphics.LayerRasterizer	35	28	2	2	0	0	13	0	3	1	0	1	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0000
Public Class	android.graphics.LightingColorFilter	182	122	23	9	0	0	8	0	1	1	0	0	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	3	0	18	39	12	21	199	0.9146
Public Class	android.graphics.LinearGradient	335	240	143	17	0	0	74	1	8	1	0	3	27	64	1	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	14	34	0	0	0	0	0	0	50	8	0	4	2	0	135	198	115	106	993	0.3374
Public Class	android.graphics.MaskFilter	134	75	2	2	0	0	7	0	1	0	3	1	15	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	44.6667
Public Class	android.graphics.Matrix	17787	4319	147	21	0	0	485	1	66	0	1	10	109	95	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	4	0	15	0	19	0	0	0	0	0	0	0	0	0	0	0	0	14	3	0	0	0	0	0	0	56	24	0	2	2	0	62	217	52	124	9364	1.8995
Public Class	android.graphics.Movie	3270	1171	35	9	0	0	61	1	11	0	0	12	29	87	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	12	0	0	0	0	0	30	33	33	42	44	74.3182
Public Class	android.graphics.NinePatch	9289	3772	308	28	0	0	83	1	22	0	0	9	37	75	1	0	0	0	0	0	8	18	12	2	2	0	2	0	0	0	6	1	1	15	4	24	0	26	18	2	0	0	6	0	0	0	0	0	0	0	21	4	0	0	0	0	2	0	40	22	2	36	33	0	207	432	154	242	148	62.7635
Public Class	android.graphics.Paint	63678	12132	2721	141	1	1	909	2	170	0	1	30	153	97	1	0	0	0	0	40	33	2	0	0	0	0	0	3	0	0	45	21	1	6	0	107	9	139	118	57	0	0	0	0	0	0	0	0	0	0	156	167	0	0	0	0	0	0	1232	271	24	46	235	0	972	2603	2014	3597	20423	3.1180
