kind	name	refCount	postCount	changeCount	commitCount	smellCount	hasSmell	LOC	Nesting	WMC	DIT	NOC	CBO	RFC	LCOM	ADD	ADDING_ATTRIBUTE_MODIFIABILITY	ADDING_CLASS_DERIVABILITY	ADDING_METHOD_OVERRIDABILITY	ADDITIONAL_CLASS	ADDITIONAL_FUNCTIONALITY	ADDITIONAL_OBJECT_STATE	ALTERNATIVE_PART_DELETE	ALTERNATIVE_PART_INSERT	ATTRIBUTE_RENAMING	ATTRIBUTE_TYPE_CHANGE	CLASS_RENAMING	COMMENT_DELETE	COMMENT_INSERT	COMMENT_MOVE	COMMENT_UPDATE	CONDITION_EXPRESSION_CHANGE	DECREASING_ACCESSIBILITY_CHANGE	DELETE	DOC_DELETE	DOC_INSERT	DOC_UPDATE	METHOD_RENAMING	MODIFY	PARAMETER_DELETE	PARAMETER_INSERT	PARAMETER_ORDERING_CHANGE	PARAMETER_RENAMING	PARAMETER_TYPE_CHANGE	PARENT_CLASS_CHANGE	PARENT_CLASS_DELETE	PARENT_CLASS_INSERT	PARENT_INTERFACE_CHANGE	PARENT_INTERFACE_DELETE	PARENT_INTERFACE_INSERT	REMOVED_CLASS	REMOVED_FUNCTIONALITY	REMOVED_OBJECT_STATE	REMOVING_ATTRIBUTE_MODIFIABILITY	REMOVING_CLASS_DERIVABILITY	REMOVING_METHOD_OVERRIDABILITY	RETURN_TYPE_CHANGE	RETURN_TYPE_DELETE	RETURN_TYPE_INSERT	STATEMENT_DELETE	STATEMENT_INSERT	STATEMENT_ORDERING_CHANGE	STATEMENT_PARENT_CHANGE	STATEMENT_UPDATE	UNCLASSIFIED_CHANGE	ForwardEngineering	ReEngineering	CorrectiveEngineering	Management	usageCount	refDensity
Public Abstract Class	android.view.ViewGroup	103380	71929	12590	997	1	1	3864	6	805	1	29	76	897	98	1	11	0	2	2	77	84	198	153	30	3	0	399	268	183	24	672	79	1	75	22	247	49	995	42	10	2	5	0	0	0	0	0	0	0	12	423	196	11	0	30	6	23	0	3357	2357	270	1324	915	6	7749	15490	10526	10957	35176	2.9389
Public Class	android.view.ViewGroupOverlay	7983	5420	7	7	0	0	11	0	3	1	0	3	22	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	4	4	15	532.2000
Public Interface	android.view.ViewManager	734	590	14	8	0	0	6	0	3	0	2	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	4	12	171	4.2924
Public Class	android.view.ViewOverlay	8717	5775	317	27	0	0	184	0	6	0	1	5	19	0	4	0	0	0	0	42	6	4	0	0	0	0	8	3	0	0	4	3	0	9	0	7	0	23	0	0	0	3	0	0	0	3	0	0	3	3	9	3	0	0	0	0	0	0	107	55	0	11	7	0	425	194	286	116	10	871.7000
Public Interface	android.view.ViewParent	1352	985	159	62	0	0	36	0	33	0	2	7	33	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	14	2	60	8	4	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	124	200	107	161	2824	0.4788
Public Class	android.view.ViewPropertyAnimator	1625	1113	564	72	1	1	521	4	96	0	0	16	53	92	1	3	0	0	0	0	0	6	0	0	0	0	15	6	0	2	0	0	0	0	0	10	0	71	0	0	0	2	0	0	0	0	0	0	0	0	27	34	0	0	0	0	0	0	251	40	3	4	89	0	664	670	576	456	3298	0.4927
Public Class	android.view.ViewStub	13710	6181	92	17	2	1	123	3	26	1	0	16	666	81	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	36	0	0	12	4	0	0	50	45	58	1368	10.0219
Public Class	android.view.ViewTreeObserver	1652	824	1320	52	0	0	466	3	89	0	0	18	48	88	1	0	0	0	4	2	0	12	0	0	71	0	16	9	0	3	45	0	1	0	0	7	0	50	0	0	0	0	0	0	0	0	0	0	0	22	53	22	0	0	0	0	0	0	365	303	2	96	236	0	352	860	256	924	9688	0.1705
Public Abstract Class	android.view.Window	30522	20680	663	131	1	1	420	3	135	0	1	27	109	98	1	11	0	0	2	29	16	15	0	2	0	0	0	0	0	0	15	5	1	5	0	25	9	129	7	0	0	0	6	0	6	0	0	0	6	0	127	48	0	0	0	0	0	4	95	59	0	20	15	0	452	774	351	529	21294	1.4334
Public Class	android.view.WindowId	47	40	4	4	0	0	132	1	18	0	0	11	24	54	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	3	3	15.6667
Public Interface	android.view.WindowManager	6353	3228	1596	349	0	0	660	0	2	1	2	2	5	0	1	0	0	0	0	2	18	0	0	11	0	0	0	0	0	4	8	5	1	4	6	135	3	347	4	8	0	0	0	0	0	0	0	0	0	6	21	301	0	0	0	0	0	0	440	114	7	73	77	0	770	1452	802	1364	13806	0.4602
Public Class	android.webkit.ConsoleMessage	295	92	2	2	0	0	31	0	5	0	0	2	18	60	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1005	0.2935
Public Class	android.webkit.CookieManager	2298	706	1729	138	0	0	59	0	19	0	1	7	32	0	1	0	0	0	4	52	61	18	28	2	0	0	61	34	16	13	164	8	1	6	0	33	0	136	6	0	0	0	0	0	0	0	0	0	0	4	63	10	0	0	0	0	0	0	372	386	28	164	49	0	757	1271	995	1633	1480	1.5527
